mp_id,name,party,state,constituency,gender,age,education,attendance_pct,debates_count,total_questions_prs,total_questions_parsed,pvt_member_bills_count,profile_url,Health and Family Welfare,Agriculture and Farmers Welfare,Railways,Finance,Education,"Environment, Forest and Climate Change",Jal Shakti,Women and Child Development,Road Transport and Highways,Housing and Urban Affairs,Home Affairs,Commerce and Industry,Labour and Employment,Civil Aviation,Rural Development,"Consumer Affairs, Food and Public Distribution",AYUSH,Communications,Petroleum and Natural Gas,Textiles,Chemicals and Fertilizers,Law and Justice,"Fisheries, Animal Husbandry and Dairying",Tourism,Electronics and Information Technology,"Micro, Small and Medium Enterprises",Social Justice and Empowerment,Culture,Defence,New and Renewable Energy,Skill Development and Entrepreneurship,External Affairs,Youth Affairs and Sports,Human Resource Development,Power,Tribal Affairs,Information and Broadcasting,Coal,Prime Minister,Food Processing Industries,Corporate Affairs,Science and Technology,Minority Affairs,"Ports, Shipping and Waterways",Heavy Industries and Public Enterprises,Earth Sciences,Panchayati Raj,Mines,Steel,Statistics and Programme Implementation,Cooperation,Planning,Shipping,Development of North Eastern Region,Ayush,Consumer Affairs,Micro,Parliamentary Affairs,Heavy Industries,Statiscs and Programme Implementation,Atomic Energy,"Personnel, Public Grievances and Pensions",Space
karadi-sanganna-amarappa,Karadi Sanganna Amarappa,BJP,Karnataka,Koppal,Male,73 years,Inter/ Higher Secondary,76,21,205,205,0,https://prsindia.org/mptrack/17-lok-sabha/karadi-sanganna-amarappa,14,5,13,11,11,6,5,8,13,7,6,5,5,5,2,3,3,1,3,2,5,5,3,8,4,4,4,1,3,1,2,4,9,0,0,4,1,0,2,2,2,0,0,0,1,1,3,0,0,3,2,2,0,0,1,0,0,0,0,0,0,0,0
sumalatha-ambareesh,Sumalatha Ambareesh,I,Karnataka,Mandya,Female,60 years,Inter/ Higher Secondary,64,24,210,210,0,https://prsindia.org/mptrack/17-lok-sabha/sumalatha-ambareesh,15,12,11,10,13,4,8,9,7,11,8,9,6,2,3,13,5,5,1,3,9,3,4,2,2,1,2,3,2,4,1,0,0,1,1,0,4,0,3,0,0,2,1,0,0,2,3,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0
prathap-simha,Prathap Simha,BJP,Karnataka,Mysore,Male,47 years,Post Graduate,86,8,355,355,0,https://prsindia.org/mptrack/17-lok-sabha/prathap-simha,24,10,21,18,18,6,4,10,16,11,10,6,5,10,6,6,5,2,10,5,13,6,3,12,6,8,4,3,7,4,3,6,11,1,7,7,8,3,7,5,3,0,1,2,4,3,3,2,2,1,3,3,0,0,1,0,0,0,0,0,0,0,0
raja-amareshwara-naik,Raja Amareshwara Naik,BJP,Karnataka,Raichur,Male,66 years,Professional Graduate,80,12,571,571,0,https://prsindia.org/mptrack/17-lok-sabha/raja-amareshwara-naik,33,15,18,29,20,17,11,16,13,25,19,19,9,12,12,8,12,10,7,10,18,12,10,5,13,9,9,12,13,4,6,9,5,10,9,4,13,6,14,4,8,10,1,7,6,9,3,4,2,8,4,0,4,3,2,0,0,0,0,0,0,0,0
raghavendra,B.Y. Raghavendra,BJP,Karnataka,Shimoga,Male,50 years,Graduate,63,17,220,220,0,https://prsindia.org/mptrack/17-lok-sabha/raghavendra,12,11,14,8,7,8,5,8,11,9,4,4,5,8,4,3,6,6,3,1,6,4,3,10,3,2,4,1,1,4,2,2,7,1,0,5,2,3,3,5,2,1,0,0,1,0,2,1,0,4,1,2,0,0,1,0,0,0,0,0,0,0,0
gangasandra-siddappa-basavaraj,Gangasandra Siddappa Basavaraj,BJP,Karnataka,Tumkur,Male,82 years,Professional Graduate,66,7,59,59,0,https://prsindia.org/mptrack/17-lok-sabha/gangasandra-siddappa-basavaraj,4,2,1,9,2,2,0,3,0,1,3,3,0,1,1,4,0,1,2,1,0,0,0,0,1,1,1,1,1,0,0,2,2,1,2,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
shobha-karandlaje,Shobha Karandlaje,BJP,Karnataka,Udupi Chikmagalur,Female,57 years,Post Graduate,89,20,131,131,0,https://prsindia.org/mptrack/17-lok-sabha/shobha-karandlaje,14,5,14,3,3,5,4,5,6,4,1,6,2,3,3,5,1,1,4,4,1,1,3,0,1,1,5,1,0,2,1,0,0,9,0,5,2,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anant-kumar-hegde,Anant Kumar Hegde,BJP,Karnataka,Uttara Kannada,Male,55 years,Inter/ Higher Secondary,67,0,18,18,0,https://prsindia.org/mptrack/17-lok-sabha/anant-kumar-hegde,5,0,0,0,0,4,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m-arif,A. M. Arif,CPI(M),Kerala,Alappuzha,Male,59 years,Professional Graduate,89,113,244,244,1,https://prsindia.org/mptrack/17-lok-sabha/m-arif,11,13,16,7,15,3,7,7,9,4,3,3,10,7,11,9,10,3,8,1,0,3,9,9,1,3,4,5,4,1,2,8,0,1,3,0,4,0,5,1,2,1,6,3,1,3,0,0,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0
ramya-haridas,Ramya Haridas,INC,Kerala,Alathur,Female,38 years,Information Not Available,72,54,321,321,0,https://prsindia.org/mptrack/17-lok-sabha/ramya-haridas,14,11,9,10,7,15,10,7,7,3,7,7,10,9,6,9,9,2,11,5,10,7,7,4,3,6,3,4,5,7,3,5,3,3,8,4,11,6,9,2,9,4,3,1,7,2,3,2,4,4,0,1,2,0,0,0,0,0,0,1,0,0,0
